#;;;;;;
#;;;;;;
#;;;;;;
#;;;;;;
channel;description;gleis;sec;fileName;type;time
1;Zeitsignal mic 1 Pa + Zeitachse;1;1;zrd_ID_1.mat;mic;1
2;Zeitsignal mic 2;4;1;zrd_ID_2.mat;mic;1
4;Zeitsignal mic 4;1;2;zrd_ID_4.mat;mic;1
5;Zeitsignal mic 5;4;2;zrd_ID_5.mat;mic;1
6;Zeitsignal mic 6;1;3;zrd_ID_6.mat;mic;1
7;Zeitsignal mic 7;4;3;zrd_ID_7.mat;mic;1
#;;;;;;
# 9;Zeitsignal (V) des Schienentriggers +  Zeitachse ;1;1;m_0100_9.mat;trigger;9
# 10;Zeitsignal (V) des Schienentriggers ;2;1;m_0100_10.mat;trigger;9
# 11;Zeitsignal (V) des Schienentriggers ;3;1;m_0100_11.mat;trigger;9
# 12;Zeitsignal (V) des Schienentriggers ;4;1;m_0100_12.mat;trigger;9
# 13;Zeitsignal (V) des Schienentriggers ;1;2;m_0100_13.mat;trigger;9
# 14;Zeitsignal (V) des Schienentriggers ;2;2;m_0100_14.mat;trigger;9
# 15;Zeitsignal (V) des Schienentriggers ;3;2;m_0100_15.mat;trigger;9
# 16;Zeitsignal (V) des Schienentriggers ;4;2;m_0100_16.mat;trigger;9
#;;;;;;
# 17;Unbenutzter Kanal f�r �bergabe des Messzeitpunkts;;;m_0100_17_{Messdatum}_{Messzeit}.ma;zeit;
#;;;;;;
# 18;Lufttemperatur in K + Zeitachse;;;m_0100_18.mat;wetter;18
# 19;rel Luftfeuchte ;;;m_0100_19.mat;wetter;18
# 20;Windgeschwindigkeit in m/s;;;m_0100_20.mat;wetter;18
# 21;Windrichtung in �;;;m_0100_21.mat;wetter;18
# 22;Regensensor in V (ca. 0 bei kein Regen);;;m_0100_22.mat;wetter;18
# 23;Luftdruck in Pa;;;m_0100_23.mat;wetter;18
#;;;;;;
prms1;A-prms Fast  in Pa mic1 + Zeitachse;1;1;ID_1.mat;p_rms;prms1
prms2;A-prms Fast  in Pa mic2;4;1;ID_2.mat;p_rms;prms1
prms4;A-prms Fast  in Pa mic4;1;2;ID_4.mat;p_rms;prms1
prms5;A-prms Fast  in Pa mic5;4;2;ID_5.mat;p_rms;prms1
prms6;A-prms Fast  in Pa mic6;1;3;ID_6.mat;p_rms;prms1
prms7;A-prms Fast  in Pa mic7;4;3;ID_7.mat;p_rms;prms1
