"","TPR","FPR","thd","totP","totF","dist_ax","d_ax","alg","algprop","delta","col","dif"
"1",0.744847192608387,0.0594688221709007,3.37114434908119,1407,3464,0.484635693414932,0.402158007389644,"Z2","2000_0.02",0.102031014672204,1,0.685378370437486
"2",0.750533049040512,0.0516743648960739,2.44398010641392,1407,3464,0.49416771464964,0.401103706968293,"Z2","3000_0.02",0.0842187550887977,2,0.698858684144438
"3",0.816631130063966,0.114896073903002,0.968950090946639,1407,3464,0.49620161680774,0.465763601983484,"Z2","3500_0.02",0.0744317180965417,3,0.701735056160964
"4",0.823027718550107,0.115762124711316,0.790886322100687,1407,3464,0.500112297503339,0.469394921630712,"Z2","4000_0.02",0.0717935301475055,4,0.70726559383879
"5",0.817341862117982,0.129618937644342,0.62440314021574,1407,3464,0.486293543472755,0.473480399881162,"Z2","4500_0.02",0.0692693592103775,5,0.68772292447364
"6",0.766903914590747,0.0807498197548666,3.54797850403414,562,1387,0.485184213397369,0.423826867172807,"Z2","2000_0.05",0.0952277212050648,6,0.686154094835881
"7",0.765124555160142,0.06056236481615,2.76462854740383,562,1387,0.498200702559884,0.412843459988146,"Z2","3000_0.05",0.0765518428918663,7,0.704562190343992
"8",0.761565836298932,0.056957462148522,2.58113147505383,562,1387,0.498233359442583,0.409261649223727,"Z2","3500_0.05",0.0660060317543515,8,0.70460837415041
"9",0.750889679715303,0.0526315789473684,2.35813673846238,562,1387,0.493743038071446,0.401760629331335,"Z2","4000_0.05",0.0635799783809286,9,0.698258100767934
"10",0.866548042704626,0.184571016582552,0.548803044656755,562,1387,0.482230579784354,0.525559529643589,"Z2","4500_0.05",0.0604345354223982,10,0.681977026122074
"11",0.762411347517731,0.0937950937950938,3.87525173089611,282,693,0.472783087018822,0.428103220656412,"Z2","2000_0.1",0.0852396344908612,11,0.668616253722637
"12",0.75886524822695,0.062049062049062,3.21019598227381,282,693,0.492723450486933,0.410457155138006,"Z2","3000_0.1",0.069480394855985,12,0.696816186177888
"13",0.762411347517731,0.0692640692640693,2.62030147410137,282,693,0.490129140814163,0.4158377083909,"Z2","3500_0.1",0.0606769895338569,13,0.693147278253661
"14",0.74113475177305,0.0461760461760462,2.56753230279538,282,693,0.491410013372267,0.393655398974548,"Z2","4000_0.1",0.0581450240623025,14,0.694958705597003
"15",0.875886524822695,0.212121212121212,0.611357697570362,282,693,0.469352953727628,0.544003868471954,"Z2","4500_0.1",0.0548566928289813,15,0.663765312701483
