TPR;TNR;FPR;FNR;d_ax;dist_ax;author;algprop;thd;alg
0.61984549;0.915247977;0.084752023;0.38015451;0.352298756;0.37836822;all;2000_0.02;2.894999614;Z2
0.635346644;0.902778755;0.097221245;0.364653356;0.366283945;0.380512119;all;3000_0.02;1.76704139;Z2
0.678438848;0.874762575;0.125237425;0.321561152;0.401838137;0.391172478;all;3500_0.02;1.047429365;Z2
0.675980736;0.876310236;0.123689764;0.324019264;0.39983525;0.390528692;all;4000_0.02;0.913411063;Z2
0.686615832;0.864034471;0.135965529;0.313384168;0.411290681;0.389368563;all;4500_0.02;0.676518927;Z2
0.643000502;0.892835432;0.107164568;0.356999498;0.375082535;0.378893222;all;2000_0.05;3.234797711;Z2
0.634219769;0.896048632;0.103951368;0.365780231;0.369085568;0.374956382;all;3000_0.05;2.22468607;Z2
0.641996989;0.889622232;0.110377768;0.358003011;0.376187379;0.375911556;all;3500_0.05;1.790877646;Z2
0.65366282;0.87755102;0.12244898;0.34633718;0.3880559;0.375624909;all;4000_0.05;1.388399089;Z2
0.715880582;0.835866261;0.164133739;0.284119418;0.44000716;0.390143934;all;4500_0.05;0.730582921;Z2
0.644059282;0.892972605;0.107027395;0.355940718;0.375543338;0.379738889;all;2000_0.1;3.528506826;Z2
0.629490078;0.900204186;0.099795814;0.370509922;0.364642946;0.374550406;all;3000_0.1;2.577276728;Z2
0.645566441;0.889059044;0.110940956;0.354433559;0.378253698;0.378037305;all;3500_0.1;1.998289454;Z2
0.633509169;0.891611366;0.108388634;0.366490831;0.370948901;0.371316291;all;4000_0.1;1.811045743;Z2
0.739512685;0.812829675;0.187170325;0.260487315;0.463341505;0.390565028;all;4500_0.1;0.726743716;Z2
0.754334038;0.909187423;0.090812577;0.245665962;0.422573307;0.469180525;esr;2000_0.02;2.894999614;Z2
0.767019027;0.895426705;0.104573295;0.232980973;0.435796161;0.468419869;esr;3000_0.02;1.76704139;Z2
0.81888654;0.861780318;0.138219682;0.18111346;0.478553111;0.481304151;esr;3500_0.02;1.047429365;Z2
0.814940099;0.865291956;0.134708044;0.185059901;0.474824071;0.480996699;esr;4000_0.02;0.913411063;Z2
0.826920366;0.852347897;0.147652103;0.173079634;0.487286235;0.480315195;esr;4500_0.02;0.676518927;Z2
